Title,Type,Date Added,Genres,Rating,_merge
Lost,-,-,"Drama,Short",-,both
Lost,-,-,"Drama,Short",-,both
Lost,-,-,Thriller,-,both
Lost,-,-,"Documentary,Short",-,both
Lost,-,-,Drama,-,both
Lost,-,-,"Adventure,Drama,Mystery",-,both
Lost,-,-,"Comedy,Short",-,both
Lost,-,-,Short,-,both
Lost,-,-,"Drama,Short",-,both
Lost,-,-,"Romance,Short",-,both
Lost,-,-,"Drama,Short",-,both
Lost,-,-,"Musical,Short",-,both
Lost,-,-,"Action,Drama,Short",-,both
Lost,-,-,"Drama,Short",-,both
Lost,-,-,"Documentary,Short",-,both
Lost,-,-,Short,-,both
Lost,-,-,Short,-,both
Lost,-,-,"Drama,Short",-,both
Westworld,-,-,"Action,Sci-Fi,Thriller",7.0,both
Westworld,-,-,"Drama,Mystery,Sci-Fi",8.8,both
The Umbrella Academy,TV Show,2019,"Action,Adventure,Comedy",8.0,both
Narcos,TV Show,2017,Drama,6.7,both
Narcos,TV Show,2017,"Drama,Short",9.3,both
Narcos,TV Show,2017,"Biography,Crime,Drama",8.8,both
True Detective,-,-,"Crime,Drama,Mystery",9.0,both
Marvel's Daredevil,TV Show,2018,-,-,left_only
Brooklyn Nine-Nine,-,-,"Comedy,Crime",8.4,both
The Walking Dead,TV Show,2019,"Crime,Horror,Sci-Fi",6.7,both
The Walking Dead,TV Show,2019,"Drama,War",4.8,both
The Walking Dead,TV Show,2019,"Drama,Horror,Thriller",8.3,both
Parks and Recreation,TV Show,2016,Comedy,8.6,both
Parks and Recreation,TV Show,2016,"Music,Short",-,both
Mindhunter,-,-,Documentary,7.7,both
Mindhunter,-,-,"Crime,Drama,Thriller",8.6,both
South Park,-,-,"Animation,Comedy",8.7,both
South Park,-,-,"Action,Animation,Comedy",6.5,both
Suits,TV Show,2019,Comedy,4.2,both
Suits,TV Show,2019,"Comedy,Drama",8.5,both
Suits,TV Show,2019,"Documentary,History,News",7.9,both
Suits,TV Show,2019,"Action,Adventure,Comedy",-,both
Hannibal,-,-,\N,5.1,both
Hannibal,-,-,"Crime,Drama,Thriller",6.8,both
Hannibal,-,-,"Action,Biography,Drama",6.8,both
Hannibal,-,-,"Crime,Drama,Horror",8.5,both
Hannibal,-,-,\N,-,both
Dexter,TV Show,2018,"Adventure,Drama,Short",7.2,both
Dexter,TV Show,2018,"Crime,Drama,Mystery",8.7,both
Community,-,-,Comedy,8.5,both
Community,-,-,"Documentary,Short",-,both
Community,-,-,Horror,4.3,both
Community,-,-,"Drama,Short",-,both
Community,-,-,"Documentary,Short",-,both
Community,-,-,"Drama,Short,Thriller",-,both
Community,-,-,\N,-,both
Community,-,-,"Drama,Family,Short",-,both
Fringe,-,-,"Drama,Mystery,Sci-Fi",8.4,both
Fringe,-,-,Short,7.5,both
Fringe,-,-,"Comedy,Drama,Short",7.2,both
Fringe,-,-,Drama,-,both
Modern Family,-,-,"Comedy,Drama,Romance",8.4,both
Modern Family,-,-,Short,-,both
The Big Bang Theory,-,-,"Comedy,Romance",8.1,both
The Big Bang Theory,-,-,"Drama,Short,Thriller",7.8,both
Firefly,-,-,"Adventure,Drama,Sci-Fi",9.0,both
Firefly,-,-,"Drama,Short",-,both
Firefly,-,-,"Drama,Sci-Fi",7.4,both
Firefly,-,-,"Drama,Mystery,Romance",-,both
Firefly,-,-,"Comedy,Drama,Short",-,both
Firefly,-,-,"Action,Comedy",7.6,both
Firefly,-,-,"Drama,Short",7.7,both
Firefly,-,-,Short,-,both
Firefly,-,-,"Animation,Family,Fantasy",-,both
Firefly,-,-,"Fantasy,Short",-,both
Firefly,-,-,"Drama,Family,Short",-,both
Firefly,-,-,"Drama,Short",-,both
Firefly,-,-,"Fantasy,Mystery,Short",-,both
Firefly,-,-,Short,-,both
Firefly,-,-,"Drama,Short",-,both
Mad Men,TV Show,2015,Drama,8.6,both
Fullmetal Alchemist: Brotherhood,TV Show,2018,-,-,left_only
Ozark,TV Show,2018,"Crime,Drama,Thriller",8.3,both
The Witcher,TV Show,2019,"Action,Adventure,Drama",-,both
The Witcher,TV Show,2019,"Biography,Documentary,Drama",5.0,both
The Witcher,TV Show,2019,"Fantasy,Short",5.2,both
Lucifer,TV Show,2019,\N,-,both
Lucifer,TV Show,2019,Horror,3.7,both
Lucifer,TV Show,2019,Drama,-,both
Lucifer,TV Show,2019,Drama,-,both
Lucifer,TV Show,2019,Short,-,both
Lucifer,TV Show,2019,"Adventure,Short",5.7,both
Lucifer,TV Show,2019,Fantasy,-,both
Lucifer,TV Show,2019,Short,-,both
Lucifer,TV Show,2019,"Action,Drama,Short",5.2,both
Lucifer,TV Show,2019,"Crime,Drama,Fantasy",8.2,both
Lucifer,TV Show,2019,Drama,6.7,both
Lucifer,TV Show,2019,"Drama,Sci-Fi,Short",-,both
Lucifer,TV Show,2019,"Horror,Short,Thriller",6.5,both
Lucifer,TV Show,2019,Horror,-,both
Lucifer,TV Show,2019,Horror,6.6,both
Lucifer,TV Show,2019,"Horror,Thriller",6.8,both
Lucifer,TV Show,2019,"Drama,Short",-,both
Lucifer,TV Show,2019,"Short,Thriller",-,both
Lucifer,TV Show,2019,"Action,Crime,Drama",7.5,both
Lucifer,TV Show,2019,"Comedy,Short",-,both
Lucifer,TV Show,2019,"Comedy,Short",-,both
It's Always Sunny in Philadelphia,-,-,Comedy,8.8,both
