Title,Release Year,Date added,Genre,Type,PG,Original,Rating,Platform
Flying Guillotine 2,1978,2018,-,Movie,TV-MA,False,-,-
Reality of Dream,2015,2018,-,TV Show,TV-14,False,-,-
The Five Venoms,1978,2018,-,Movie,R,False,-,-
Wet Hot American Summer,2015,2015,"Comedy,Romance",TV Show,TV-MA,False,6.6,-
7 (Seven),2019,2019,-,TV Show,TV-14,False,-,-
All Good Ones Get Away,2019,2019,-,Movie,TV-MA,False,-,-
American Hangman,2019,2019,Thriller,Movie,TV-MA,False,5.9,-
Whitney Cummings: Can I Touch It?,2019,2019,Comedy,Movie,TV-MA,False,6.3,-
Holy Man 2,2008,2018,-,Movie,TV-14,False,-,-
Holy Man 3,2010,2018,-,Movie,TV-14,False,-,-
The Unborn Child,2011,2018,-,Movie,TV-MA,False,-,-
Loco Love,2017,2017,"Drama,Romance",Movie,TV-MA,False,4.2,-
The Last Czars,2019,2019,"Documentary,Drama,History",TV Show,TV-MA,True,7.3,Netflix
All the Boys Love Mandy Lane,2006,2018,Horror,Movie,R,False,5.5,-
Felipe Esparza: They're Not Going to Laugh at You,2012,2018,-,Movie,NR,False,-,-
Joan Rivers: Don't Start with Me,2012,2018,Comedy,Movie,TV-MA,False,6.5,-
Katt Williams: Kattpacalypse,2012,2018,Comedy,Movie,NR,False,5.5,-
Mission of Honor,2019,2019,-,Movie,TV-MA,False,-,-
The Croods,2013,2019,Talk-Show,Movie,PG,False,8.0,-
Twelve Forever,2019,2019,"Action,Adventure,Animation",TV Show,TV-Y7,False,6.7,-
Her,2013,2018,"Comedy,Drama,Romance",Movie,R,False,9.2,-
Tallulah,2016,2016,"Comedy,Drama,Romance",Movie,TV-MA,True,6.7,-
Da Kath & Kim Code,2005,2018,Comedy,Movie,TV-14,False,7.4,-
Kath & Kimderella,2012,2018,Comedy,Movie,TV-14,False,5.3,-
The Company Men,2010,2018,Drama,Movie,R,False,6.7,-
The Flying Guillotine,1975,2018,-,Movie,TV-MA,False,-,-
The Mansion,2017,2018,"Documentary,Short",Movie,TV-MA,False,7.5,-
Daughters of Destiny,2017,2017,Documentary,TV Show,TV-PG,True,8.5,Netflix
Diana: 7 Days That Shook the World,2017,2017,-,Movie,TV-PG,False,-,-
The Incredible Jessica James,2017,2017,Comedy,Movie,TV-MA,True,6.5,-
Coco y Raulito: Carrusel de ternura,2018,2018,Comedy,Movie,TV-MA,False,6.6,-
Extinction,2018,2018,"Action,Animation,Fantasy",Movie,TV-MA,True,4.1,-
Smoking,2018,2018,Crime,TV Show,TV-MA,False,7.5,Netflix
The Bleeding Edge,2018,2018,Documentary,Movie,TV-14,True,7.7,-
Welcome to the Family,2018,2018,"Reality-TV,Romance",TV Show,TV-MA,False,5.6,-
1st Summoning,2018,2019,Horror,Movie,TV-MA,False,3.3,-
Boi,2018,2019,"Mystery,Thriller",Movie,TV-MA,True,4.8,-
Eerie,2019,2019,"Crime,Drama,Horror",Movie,TV-14,False,4.7,-
Fake or Fortune?,2015,2019,Documentary,TV Show,TV-G,False,8.6,Netflix
Girls With Balls,2019,2019,-,Movie,TV-MA,False,-,-
Guy Martin: Last Flight of the Vulcan Bomber,2015,2019,-,Movie,TV-G,False,-,-
Love Your Garden,2013,2019,Reality-TV,TV Show,TV-G,False,8.0,Netflix
Mary Portas: Secret Shopper,2016,2019,Reality-TV,TV Show,TV-14,False,6.9,Netflix
Monty Don's French Gardens,2013,2019,Documentary,TV Show,TV-G,False,8.0,Netflix
Monty Don's Italian Gardens,2011,2019,Documentary,TV Show,TV-G,False,8.3,Netflix
The Exception,2016,2019,"Drama,Romance,War",Movie,R,False,6.8,-
The Son,2019,2019,"Drama,Family,Short",Movie,TV-MA,True,8.1,Hulu
Amy,2015,2018,"Horror,Short",Movie,R,False,5.3,-
Barely Lethal,2015,2018,"Action,Adventure,Comedy",Movie,PG-13,False,5.4,-
Dark Places,2015,2018,"Action,Drama,Mystery",Movie,R,False,6.2,-
Ex Machina,2015,2018,"Documentary,Talk-Show",Movie,R,False,7.5,-
Man of Tai Chi,2013,2018,"Action,Drama",Movie,R,False,6.1,-
Mississippi Grind,2015,2018,"Comedy,Drama",Movie,R,False,6.4,-
Mojave,2015,2018,"Drama,Thriller",Movie,R,False,5.2,-
Pahuyut Fighting Beat,2007,2018,-,Movie,TV-14,False,-,-
Remember,2015,2018,"Sci-Fi,Short",Movie,R,False,9.7,-
Slow West,2015,2018,"Action,Adventure,Western",Movie,R,False,6.9,-
The End of the Tour,2015,2018,"Comedy,Romance",Movie,R,False,8.1,-
Another Life,2019,2019,"Adventure,Drama,Mystery",TV Show,TV-MA,True,4.9,Netflix
Bang Rajan 2,2010,2018,"Action,Adventure,War",Movie,TV-MA,False,5.5,-
My True Friend,2012,2018,-,Movie,TV-MA,False,-,-
Oh My Ghost,2009,2018,Comedy,Movie,TV-14,False,7.0,Netflix
Oh My Ghost 2,2011,2018,-,Movie,TV-MA,False,-,-
Oh My Ghost 4,2015,2018,-,Movie,TV-MA,False,-,-
Parmanu: The Story of Pokhran,2018,2018,"Action,Drama,History",Movie,TV-14,False,7.7,-
The Holy Man,2005,2018,"Action,Drama,Sport",Movie,TV-14,False,7.8,-
Train of the Dead,2007,2018,-,Movie,NR,False,-,-
Waterschool,2018,2018,Documentary,Movie,PG,False,6.1,-
Joe Mande’s Award-Winning Comedy Special,2017,2017,-,Movie,TV-MA,False,-,-
Lizzie Borden Took an Ax,2014,2016,"Crime,Drama,Mystery",Movie,TV-14,False,5.8,-
The Great Hack,2019,2019,Documentary,Movie,TV-MA,True,7.0,-
Iliza Shlesinger: Elder Millennial,2018,2018,-,Movie,TV-MA,False,-,-
The Warning,2018,2018,Horror,Movie,TV-MA,True,3.5,-
Tusk,2014,2018,Documentary,Movie,R,False,7.3,-
I Called Him Morgan,2016,2017,"Documentary,Drama,History",Movie,TV-14,False,7.3,-
Victor,2015,2017,"Drama,Fantasy,Horror",Movie,PG-13,False,7.4,-
Eurovision Song Contest,2019,2019,-,TV Show,TV-PG,False,-,-
The Competition,2018,2019,"Comedy,Romance",Movie,TV-14,False,4.3,-
The Devil and Father Amorth,2017,2018,"Documentary,Horror",Movie,TV-14,False,4.6,-
Inglourious Basterds,2009,2019,"Adventure,Drama,War",Movie,R,False,8.3,-
My Hotter Half,2017,2019,Reality-TV,TV Show,TV-14,False,3.6,Netflix
Storage Wars: Northern Treasures,2015,2019,Reality-TV,TV Show,TV-MA,False,5.6,Netflix
Unfinished Song,2012,2019,-,Movie,PG-13,False,-,-
A Most Violent Year,2014,2018,"Action,Crime,Drama",Movie,R,False,7.0,-
Bolt,2008,2018,Documentary,Movie,PG,False,6.8,-
Bewafaa,2005,2019,"Drama,Romance",Movie,TV-PG,False,4.3,-
Connected,2008,2019,"Animation,Music,Sci-Fi",Movie,TV-MA,False,7.2,-
D.L. Hughley: Contrarian,2018,2019,Comedy,Movie,TV-MA,False,6.5,-
Demetri Martin: The Overthinker,2018,2019,Comedy,Movie,TV-MA,False,7.2,-
The Beast Stalker,2008,2019,-,Movie,TV-MA,False,-,-
The Midas Touch,2013,2019,Comedy,Movie,TV-14,False,4.4,-
The Twins Effect II,2004,2019,-,Movie,TV-14,False,-,-
Twins Mission,2007,2019,-,Movie,TV-14,False,-,-
Life After Beth,2014,2018,"Comedy,Fantasy,Horror",Movie,R,False,5.6,-
Revenge of the Green Dragons,2014,2018,"Action,Crime,Drama",Movie,R,False,5.3,-
City of Tiny Lights,2016,2017,"Crime,Drama,Thriller",Movie,TV-MA,False,5.5,-
Internet Famous,2016,2016,Comedy,Movie,TV-14,False,3.5,-
May You Prosper,2017,2019,-,Movie,TV-14,False,-,-
Sexy Central,2019,2019,-,TV Show,TV-MA,False,-,-
Amazing Interiors,2018,2018,Documentary,TV Show,TV-PG,True,6.7,Netflix
Dark Tourist,2018,2018,Documentary,TV Show,TV-MA,True,7.6,Netflix
Duck Duck Goose,2018,2018,"Drama,Short",Movie,PG,True,7.0,-
Father of the Year,2018,2018,Comedy,Movie,TV-14,True,5.2,-
Jimmy: The True Story of a True Idiot,2018,2018,-,TV Show,TV-MA,True,-,Netflix
Nothing to Lose,2018,2018,"Action,Short",Movie,PG,False,6.4,-
The Captive,2014,2018,"Crime,Drama,Thriller",Movie,R,False,7.7,-
"Houston, We Have a Problem!",2016,2017,-,Movie,TV-14,False,-,-
The Most Beautiful Hands of Delhi,2017,2017,-,TV Show,TV-MA,False,-,-
DreamWorks How to Train Your Dragon Legends,2011,2012,-,TV Show,TV-PG,False,-,-
Bangkok Love Stories: Objects of Affection,2019,2019,Drama,TV Show,TV-14,False,4.6,-
Bangkok Love Stories: Plead,2019,2019,Drama,TV Show,TV-14,False,7.1,-
Designated Survivor: 60 Days,2019,2019,-,TV Show,TV-14,False,-,Netflix
Dance Academy: The Comeback,2017,2018,-,Movie,TV-PG,False,-,-
King of Peking,2018,2018,"Comedy,Drama",Movie,TV-PG,False,6.3,-
Black Rose,2014,2017,"Action,Crime,Drama",Movie,TV-MA,False,2.5,-
"¡Ay, mi madre!",2019,2019,Comedy,Movie,TV-MA,False,3.8,-
Iron Cowboy: The Story of the 50.50.50,2018,2019,Documentary,Movie,TV-14,False,6.5,-
​SAINT SEIYA: Knights of the Zodiac,2019,2019,-,TV Show,TV-14,False,-,-
Typewriter,2019,2019,"Horror,Thriller",TV Show,TV-MA,True,6.5,Netflix
El club de los buenos infieles,2018,2018,Comedy,Movie,TV-MA,False,5.6,-
Katt Williams: Live,2006,2018,-,Movie,NR,False,-,-
Obvious Child,2014,2018,"Comedy,Drama,Romance",Movie,R,False,6.8,-
Room,2015,2018,Short,Movie,R,False,8.5,-
Say When,2014,2018,-,Movie,R,False,-,-
Son of a Gun,2014,2018,"Comedy,Drama,History",Movie,R,False,6.7,-
The Rover,2014,2018,"Documentary,Talk-Show",Movie,R,False,7.0,-
The Stranger,1946,2018,"Adventure,Animation,Family",Movie,TV-PG,True,6.6,Netflix
Rookie Historian Goo Hae-Ryung,2019,2019,-,TV Show,TV-14,False,-,Netflix
Secret Obsession,2019,2019,"Drama,Mystery,Thriller",Movie,TV-14,True,4.3,-
Short Term 12,2013,2019,Drama,Movie,R,False,8.0,-
Camarón Revolution,2018,2018,-,TV Show,TV-14,False,-,-
Camarón: The Film,2018,2018,-,Movie,TV-14,False,-,-
GODZILLA City on the Edge of Battle,2018,2018,-,Movie,TV-14,False,-,-
Aditi Mittal: Things They Wouldn't Let Me Say,2017,2017,Comedy,Movie,TV-MA,False,4.3,-
Ari Shaffir: Double Negative,2017,2017,Comedy,TV Show,TV-MA,False,6.8,-
Theater of Life,2016,2017,Documentary,Movie,TV-PG,False,6.8,-
Mauli,2018,2019,Action,Movie,TV-14,False,6.0,-
Unrequited Love,2019,2019,"Drama,Short",TV Show,TV-14,False,3.2,-
Mary and the Witch's Flower,2018,2018,"Comedy,Talk-Show",Movie,PG,False,5.6,-
Uncertain Glory,2017,2017,"Crime,Drama,Romance",Movie,TV-MA,False,7.1,-
Tig,2015,2015,Documentary,Movie,TV-14,True,7.4,-
Bogda,2018,2019,Drama,Movie,TV-PG,False,7.5,-
"Frankenstein’s Monster’s Monster, Frankenstein",2019,2019,-,Movie,TV-14,False,-,-
Jack of all Trades,2018,2019,Documentary,Movie,TV-MA,False,6.2,-
The Break-Up,2006,2019,"Comedy,Crime,Mystery",Movie,PG-13,False,9.5,-
The Princess and the Frog,2009,2019,"Adventure,Animation,Comedy",Movie,G,False,6.2,-
We Belong Together,2018,2019,Thriller,Movie,TV-14,False,4.6,-
Angel Beats!,2010,2019,"Action,Animation,Comedy",TV Show,TV-14,False,7.8,Netflix
Anohana: The Flower We Saw That Day,2011,2019,-,TV Show,TV-PG,False,-,-
God Eater,2015,2019,"Action,Animation,Sci-Fi",TV Show,TV-MA,False,7.0,Netflix
GRANBLUE FANTASY the Animation,2017,2019,-,TV Show,TV-14,False,-,-
Grizzy et les Lemmings,2017,2019,-,TV Show,TV-Y7,False,-,-
Love Shot,2018,2019,"Comedy,Crime,Romance",Movie,TV-MA,False,6.1,-
A Glimpse Inside the Mind of Charles Swan III,2012,2018,Comedy,Movie,R,False,4.8,-
Enemy,2013,2018,"Adventure,Drama,Mystery",Movie,R,False,8.5,-
Esperando La Carroza,1985,2018,-,Movie,NR,False,-,-
Froning: The Fittest Man in History,2016,2018,Documentary,Movie,PG,False,6.7,-
Ginger & Rosa,2012,2018,Drama,Movie,PG-13,False,6.3,-
Going for Gold,2018,2018,"Drama,Family,Sport",Movie,TV-G,False,4.7,-
Locke,2013,2018,"Documentary,Talk-Show",Movie,R,False,7.1,-
Lucha: Playing the Impossible,2016,2018,-,Movie,TV-PG,False,-,-
Spring Breakers,2012,2018,"Crime,Drama",Movie,R,False,5.3,-
Stray Bullet,2018,2018,Mystery,Movie,TV-14,False,9.5,-
Tahaan,2008,2018,Drama,Movie,TV-14,False,7.1,-
Tango Feroz,1993,2018,-,Movie,TV-MA,False,-,-
Temporada de Caza,2017,2018,Drama,Movie,TV-MA,False,6.3,-
The Adderall Diaries,2015,2018,"Crime,Drama,Thriller",Movie,R,False,5.3,-
The Spectacular Now,2013,2018,"Comedy,Drama,Romance",Movie,R,False,7.1,-
Under The Skin,2013,2018,-,Movie,R,False,-,-
Amar,2017,2017,"Action,Drama,Romance",Movie,TV-MA,False,5.5,-
Singh Saab the Great,2013,2017,"Action,Drama",Movie,TV-14,False,5.7,-
Vitti Dandu,2014,2017,"Drama,History",Movie,TV-14,False,7.6,-
Holidays,2016,2016,Comedy,Movie,NR,False,7.8,-
Lusers,2015,2016,-,Movie,NR,False,-,-
Rebirth,2016,2016,Reality-TV,Movie,TV-MA,True,3.2,-
Tony Robbins: I Am Not Your Guru,2016,2016,Documentary,Movie,TV-MA,True,6.7,-
The Physician,2013,2015,"Adventure,Drama,History",Movie,R,False,7.2,-
White Christmas,1954,2012,"Animation,Comedy,Romance",Movie,TV-G,False,7.8,-
Blood & Treasures,2016,2018,-,TV Show,TV-14,False,-,Netflix
Colonia,2015,2018,"Biography,Drama,History",Movie,R,False,7.1,-
Meteor Garden,2018,2018,"Drama,Romance",TV Show,TV-PG,False,8.2,Netflix
Buddy Thunderstruck: The Maybe Pile,2017,2017,-,Movie,TV-PG,False,-,-
Chasing Coral,2017,2017,Documentary,Movie,TV-PG,True,8.1,-
To the Bone,2017,2017,Drama,Movie,TV-MA,True,6.8,-
Gridlocked,2015,2016,Action,Movie,R,False,5.8,-
Magi: Adventure of Sinbad,2016,2016,-,TV Show,TV-14,False,-,Netflix
Creep,2014,2015,"Drama,Romance,Sci-Fi",Movie,R,False,8.8,-
"Plaire, aimer et courir vite",2018,2019,"Drama,Romance",Movie,TV-MA,False,6.8,-
Fatal Destiny,2016,2018,-,TV Show,TV-14,False,-,-
How It Ends,2018,2018,"Drama,Family,Romance",Movie,TV-MA,True,7.8,-
Jim Jefferies: This Is Me Now,2018,2018,Comedy,Movie,TV-MA,False,7.3,-
Kevin Hart: Let Me Explain,2013,2018,"Comedy,Documentary",Movie,R,False,6.8,-
Romina,2018,2018,"Horror,Thriller",Movie,TV-MA,False,2.2,-
The Signal,2014,2018,"Adventure,Animation,Comedy",Movie,PG-13,False,8.3,-
D.L. Hughley: Clear,2014,2017,Comedy,Movie,TV-MA,False,6.7,-
My Scientology Movie,2015,2017,Documentary,Movie,TV-MA,False,6.7,-
Tom Segura: Completely Normal,2014,2017,"Comedy,Documentary",Movie,TV-MA,False,7.8,-
4L,2019,2019,-,Movie,TV-MA,True,-,-
Age Gap Love,2017,2019,"Documentary,Romance",TV Show,TV-MA,False,5.7,Netflix
Ainsley Eats the Streets,2014,2019,Documentary,TV Show,TV-PG,False,6.9,-
Black & Privileged: Volume 1,2019,2019,-,Movie,TV-MA,False,-,-
Blown Away,2019,2019,Reality-TV,TV Show,TV-PG,False,6.7,Netflix
Cities of Last Things,2018,2019,"Crime,Drama,Sci-Fi",Movie,TV-MA,True,6.2,-
Encounters with Evil,2016,2019,Documentary,TV Show,TV-14,False,6.9,-
Extreme Engagement,2019,2019,Reality-TV,TV Show,TV-MA,True,5.2,Netflix
History's Greatest Hoaxes,2016,2019,Documentary,TV Show,TV-PG,False,6.1,Netflix
Kidnapping Stella,2019,2019,Thriller,Movie,TV-MA,True,4.8,-
Luis Miguel - The Series,2018,2019,-,TV Show,TV-MA,False,-,-
Mega Food,2013,2019,Documentary,TV Show,TV-G,False,6.6,Netflix
MegaTruckers,2012,2019,Reality-TV,TV Show,TV-PG,False,6.9,Netflix
Money for Nothing,2015,2019,Musical,TV Show,TV-PG,False,9.9,Netflix
One Spring Night,2019,2019,"Documentary,News",TV Show,TV-14,False,5.7,Netflix
PILI Fantasy: War of Dragons,2019,2019,-,TV Show,TV-14,False,-,-
Point Blank,2019,2019,\N,Movie,TV-MA,True,6.5,-
Smart People,2008,2019,"Comedy,Drama,Romance",Movie,R,False,6.1,-
Taco Chronicles,2019,2019,Documentary,TV Show,TV-PG,True,7.8,Netflix
The Milk System,2017,2019,-,Movie,TV-14,False,-,-
True Tunes,2019,2019,Family,TV Show,TV-Y,False,7.4,-
Gonul,2015,2017,-,TV Show,TV-14,False,-,Netflix
Chhota Bheem,2019,2019,"Action,Adventure,Animation",TV Show,TV-Y7,False,4.6,-
Family Reunion,2019,2019,Comedy,TV Show,TV-PG,True,6.3,Netflix
Little Singham Bandarpur Mein Hu Ha Hu,2019,2019,-,Movie,TV-Y7,False,-,-
Parchís: the Documentary,2019,2019,-,Movie,TV-14,False,-,-
Us and Them,2017,2018,Documentary,Movie,TV-MA,True,6.6,-
The Battered Bastards of Baseball,2014,2014,"Documentary,Sport",Movie,NR,True,8.0,-
Sex Doll,2016,2017,Thriller,Movie,UR,False,4.4,-
Summer of '92,2015,2016,Comedy,Movie,NR,False,7.5,-
Chris Tucker Live,2015,2015,"Comedy,Documentary",Movie,TV-MA,False,6.3,-
Alice Doesn't Live Here Anymore,1974,2019,"Comedy,Family",Movie,PG,False,7.0,-
DreamWorks Kung Fu Panda Awesome Secrets,2008,2019,-,TV Show,TV-PG,False,-,-
Flowering Heart,2016,2019,"Animation,Horror",TV Show,TV-Y7,False,5.9,Prime
Frozen River,2008,2019,"Crime,Drama",Movie,R,False,7.1,-
Inkheart,2008,2019,"Adventure,Family,Fantasy",Movie,PG,False,6.1,-
Inside the Mind of a Serial Killer,2015,2019,"Crime,Documentary",TV Show,TV-14,False,5.4,Netflix
Katherine Ryan: Glitter Room,2019,2019,Comedy,Movie,TV-MA,False,6.5,-
Kill the Irishman,2011,2019,"Biography,Crime,Drama",Movie,R,False,7.1,-
Lady in the Water,2006,2019,Comedy,Movie,PG-13,False,7.8,-
Little Monsters,1989,2019,"Comedy,Horror",Movie,PG,False,6.3,-
Mean Dreams,2016,2019,Thriller,Movie,R,False,6.3,-
Mean Streets,1973,2019,"Action,Adventure,Crime",Movie,R,False,7.6,-
Molang,2015,2019,Animation,TV Show,TV-Y,False,8.6,Netflix
Next,2007,2019,"Comedy,Game-Show",Movie,PG-13,False,6.4,-
Nights in Rodanthe,2008,2019,"Drama,Romance",Movie,PG-13,False,6.0,-
NOVA: Bird Brain,2017,2019,-,Movie,TV-G,False,-,-
NOVA: Black Hole Apocalypse,2018,2019,-,Movie,TV-G,False,-,-
NOVA: Building Chernobyl's MegaTomb,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Chinese Chariot Revealed,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Day the Dinosaurs Died,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Death Dive to Saturn,2017,2019,-,Movie,TV-G,False,-,-
NOVA: Decoding the Weather Machine,2018,2019,-,Movie,TV-14,False,-,-
NOVA: Eclipse Over America,2017,2019,-,Movie,TV-G,False,-,-
NOVA: Extreme Animal Weapons,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: First Face of America,2018,2019,-,Movie,TV-PG,False,-,-
NOVA: Holocaust Escape Tunnel,2017,2019,-,Movie,TV-14,False,-,-
NOVA: Killer Floods,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Killer Hurricanes,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Killer Volcanoes,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Poisoned Water,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Prediction by the Numbers,2018,2019,-,Movie,TV-G,False,-,-
NOVA: Secrets of the Shining Knight,2017,2019,-,Movie,TV-PG,False,-,-
NOVA: Thai Cave Rescue,2018,2019,-,Movie,TV-PG,False,-,-
NOVA: The Impossible Flight,2018,2019,-,Movie,TV-PG,False,-,-
Nova: Ultimate Mars Challenge,2012,2019,-,Movie,TV-G,False,-,-
Paul Blart: Mall Cop,2009,2019,Comedy,Movie,PG,False,7.5,-
Philadelphia,1993,2019,Comedy,Movie,PG-13,False,7.8,-
Rabbids Invasion,2018,2019,"Animation,Comedy,Family",TV Show,TV-Y7,True,5.0,Netflix
Race to Witch Mountain,2009,2019,"Comedy,Family,Short",Movie,PG,False,8.1,-
Rain Man,1988,2019,Comedy,Movie,R,False,5.8,-
Record of Grancrest War,2018,2019,"Action,Adventure,Animation",TV Show,TV-MA,False,7.2,Netflix
Room on the Broom,2012,2019,"Animation,Comedy,Family",Movie,G,False,7.6,-
Scream 3,2000,2019,"Horror,Mystery",Movie,R,False,5.5,-
Shorts,2009,2019,"Action,Adventure,Animation",Movie,PG,False,7.4,-
Soul to Keep,2019,2019,"Horror,Thriller",Movie,TV-MA,False,4.3,-
Starsky & Hutch,2004,2019,"Action,Adventure,Comedy",Movie,PG-13,False,7.5,-
Stone Age,2017,2019,"Comedy,Game-Show",TV Show,TV-Y7,False,6.3,-
Swiped,2018,2019,"Comedy,Sci-Fi,Short",Movie,TV-14,False,7.1,-
Swordfish,2001,2019,"Action,Crime,Thriller",Movie,R,False,6.5,-
Taxi Driver,1976,2019,\N,Movie,R,False,5.0,-
Tayo the Little Bus Movie: Mission Ace,2016,2019,-,Movie,TV-Y7,False,-,-
The Accountant of Auschwitz,2018,2019,Documentary,Movie,TV-14,False,7.3,-
The Book of Eli,2010,2019,"Action,Adventure,Drama",Movie,R,False,6.9,-
The Brothers Grimm,2005,2019,Drama,Movie,PG-13,False,6.0,-
The Forbidden Kingdom,2008,2019,"Action,Adventure,Fantasy",Movie,PG-13,False,6.6,-
The In-Laws,2003,2019,Comedy,Movie,PG-13,False,7.0,Netflix
The Pink Panther,2006,2019,"Adventure,Comedy,Crime",Movie,PG,False,5.6,-
Titipo Titipo,2018,2019,-,TV Show,TV-Y,False,-,-
War Against Women,2013,2019,-,Movie,TV-14,False,-,-
Who's That Knocking at My Door?,1967,2019,-,Movie,R,False,-,-
Angamaly Diaries,2017,2018,"Action,Comedy,Thriller",Movie,TV-14,False,8.0,-
Anthony Kaun Hai?,2006,2018,"Mystery,Thriller",Movie,TV-14,False,5.4,-
Bo Burnham: what.,2013,2018,"Comedy,Documentary,Music",Movie,TV-MA,False,8.5,-
Cappuccino,2017,2018,"Comedy,Drama",Movie,TV-14,False,3.7,-
Chalte Chalte,2003,2018,Drama,Movie,TV-PG,False,7.8,-
Chicken Kokkachi,2017,2018,Comedy,Movie,TV-14,False,4.8,-
Comedy High School,2018,2018,-,TV Show,TV-14,False,-,Netflix
Counterfeiting in Suburbia,2018,2018,Thriller,Movie,TV-14,False,4.5,-
Daffedar,2017,2018,Drama,Movie,TV-PG,False,5.9,-
Deewana Main Deewana,2013,2018,"Comedy,Romance,Thriller",Movie,TV-14,False,2.5,-
Dream Big: Engineering Our World,2017,2018,"Documentary,Short",Movie,TV-G,False,6.5,-
Duck Butter,2018,2018,"Comedy,Drama,Romance",Movie,TV-MA,False,5.3,-
Gemini,2018,2018,"Sci-Fi,Short",Movie,TV-PG,False,9.0,-
I Am Kalam,2010,2018,"Comedy,Drama,Family",Movie,TV-PG,False,8.0,-
Kaviyude Osyath,2017,2018,-,Movie,TV-PG,False,-,-
Loving Annabelle,2006,2018,"Drama,Romance",Movie,TV-MA,False,6.3,-
Ma Chu Ka,2017,2018,"Crime,Mystery,Thriller",Movie,TV-14,False,6.2,-
Melvin Goes to Dinner,2003,2018,"Comedy,Drama,Romance",Movie,R,False,6.9,-
My Birthday Song,2018,2018,Thriller,Movie,TV-14,False,5.5,-
Namastey London,2007,2018,"Comedy,Drama,Romance",Movie,TV-PG,False,7.1,-
Our Shining Days,2017,2018,-,Movie,TV-PG,False,-,-
Paathi,2017,2018,-,Movie,TV-MA,False,-,-
Pareeth Pandaari,2017,2018,-,Movie,TV-PG,False,-,-
Paulettante Veedu,2016,2018,-,Movie,TV-14,False,-,-
Paying Guests,2009,2018,"Comedy,Drama",Movie,TV-14,False,4.2,-
Sarvopari Palakkaran,2017,2018,Comedy,Movie,TV-14,False,5.0,-
Secret,2007,2018,"Animation,Comedy",Movie,TV-PG,False,7.0,-
Socha Na Tha,2005,2018,Drama,Movie,TV-PG,False,6.9,-
Soul Robbers,2015,2018,-,Movie,TV-MA,False,-,-
The Feels,2018,2018,"Comedy,Drama",Movie,TV-MA,False,8.4,-
The Music of Silence,2017,2018,-,Movie,TV-PG,False,-,-
The Redeemed and the Dominant: Fittest on Earth,2017,2018,Documentary,Movie,TV-14,False,7.1,-
Theeram,2017,2018,"Drama,Romance",Movie,TV-14,False,6.5,-
Traitor,2008,2018,\N,Movie,PG-13,False,8.3,-
Tum Milo Toh Sahi,2010,2018,"Comedy,Drama",Movie,TV-PG,False,5.7,-
Viswasapoorvam Mansoor,2017,2018,Drama,Movie,TV-14,False,6.5,-
"We, the Marines",2017,2018,"Documentary,Short",Movie,TV-PG,False,5.4,-
What a Wonderful Family!,2017,2018,-,Movie,TV-PG,False,-,-
What We Started,2017,2018,Documentary,Movie,TV-MA,False,7.5,-
Zoo,2018,2018,"Animation,Comedy,Short",Movie,TV-MA,False,5.8,Netflix
1 Chance 2 Dance,2014,2017,"Drama,Family",Movie,TV-PG,False,4.8,-
10 jours en or,2012,2017,"Comedy,Drama",Movie,TV-PG,False,5.8,-
46,2016,2017,"Drama,Short",TV Show,TV-14,False,7.0,Netflix
A 2nd Chance,2011,2017,"Crime,Thriller",Movie,PG,False,5.5,-
Against the Tide,2014,2017,Drama,TV Show,TV-14,False,8.2,Netflix
Albion: The Enchanted Stallion,2016,2017,"Action,Adventure,Comedy",Movie,TV-PG,False,5.2,-
Amrapali,1966,2017,"Fantasy,Musical",Movie,TV-PG,False,6.7,-
Barbie Life in the Dreamhouse,2012,2017,-,TV Show,TV-G,False,-,-
Black Snow,2017,2017,"Action,Adventure,Animation",Movie,TV-MA,False,7.2,-
Breakout,2010,2017,"Action,Family",TV Show,TV-14,False,7.5,-
Bruno and Boots: The Wizzle War,2017,2017,-,Movie,TV-PG,False,-,-
Deep Water,2016,2017,Drama,TV Show,TV-MA,False,6.1,Netflix
Hans Teeuwen: Real Rancour,2018,2017,-,Movie,TV-MA,False,-,-
Here Alone,2016,2017,"Drama,Horror,Sci-Fi",Movie,TV-MA,False,5.6,-
Ho Mann Jahaan,2015,2017,"Drama,Musical",Movie,TV-PG,False,7.2,-
Lal Patthar,1971,2017,Drama,Movie,TV-PG,False,6.3,-
Learning Songs by Little Baby Bum: Nursery Rhyme Friends,2015,2017,-,TV Show,TV-Y,False,-,-
Liar's Dice,2013,2017,"Adventure,Drama,Family",Movie,TV-MA,False,6.9,-
Momo Salon,2014,2017,"Comedy,Romance",TV Show,TV-14,False,5.6,Netflix
Mystic Whispers,2014,2017,"Comedy,Mystery,Romance",TV Show,TV-14,False,7.2,-
Players,2012,2017,"Action,Crime,Thriller",Movie,TV-14,False,4.1,-
Professor,1962,2017,"Biography,Documentary",Movie,TV-PG,False,6.8,-
Spice Up,2014,2017,-,TV Show,TV-PG,False,-,-
