Title,Release Year,Date added,Genre,Type,PG,Original,Rating,Platform
Criminal: France,2019,2019,"Crime,Drama",TV Show,TV-MA,True,7.2,Netflix
Criminal: Germany,2019,2019,"Crime,Drama",TV Show,TV-MA,True,7.8,Netflix
Criminal: Spain,2019,2019,"Crime,Drama",TV Show,TV-MA,True,7.0,Netflix
Criminal: UK,2019,2019,"Crime,Drama,Mystery",TV Show,TV-MA,True,7.5,Netflix
Daddy Issues,2019,2019,"Comedy,Drama,Romance",Movie,TV-MA,False,8.1,-
Inside Bill's Brain: Decoding Bill Gates,2019,2019,Documentary,TV Show,TV-14,True,8.0,Netflix
The Hockey Girls,2019,2019,-,TV Show,TV-MA,False,-,Netflix
Travel Mates 2,2018,2019,-,Movie,TV-14,False,-,-
True: Tricky Treat Day,2019,2019,"Family,Short",Movie,TV-Y,False,7.3,-
Two Sentence Horror Stories,2019,2019,Horror,TV Show,TV-14,False,5.4,Netflix
Mad World,2016,2018,"Action,Sci-Fi",Movie,TV-MA,False,2.2,-
Mobile Suit Gundam UC,2014,2018,-,TV Show,TV-14,False,-,-
The Bund,1983,2018,-,Movie,TV-14,False,-,-
The First Line,2014,2016,-,Movie,TV-14,False,-,-
Maynard,2017,2018,Documentary,Movie,TV-PG,False,6.1,-
Monkey Twins,2018,2018,"Action,Adventure,Crime",TV Show,TV-MA,False,7.7,Netflix
Bitcoin Heist,2016,2017,Action,Movie,TV-14,False,5.8,-
I Am Not Madame Bovary,2016,2017,-,Movie,TV-14,False,-,-
Vincent N Roxxy,2016,2017,"Crime,Drama,Thriller",Movie,R,False,5.5,-
Chef's Table: France,2016,2016,Documentary,TV Show,TV-14,True,8.3,Netflix
Kulipari: An Army of Frogs,2016,2016,"Action,Animation,Fantasy",TV Show,TV-Y7-FV,False,6.9,Netflix
Miss Julie,2014,2015,"Drama,Romance",Movie,PG-13,False,5.4,-
Kabir Singh,2019,2019,"Drama,Romance",Movie,TV-MA,False,7.2,-
Océans,2009,2019,"Documentary,Drama",Movie,G,False,7.8,-
The Endless,2017,2018,"Action,Sci-Fi,Short",Movie,TV-MA,False,7.3,-
Transformers: Rescue Bots,2016,2018,"Action,Adventure,Animation",TV Show,TV-Y7,False,6.5,Netflix
Jerry Before Seinfeld,2017,2017,Comedy,Movie,TV-14,False,7.0,-
Manhunt,2017,2017,"Crime,Documentary",TV Show,TV-14,True,8.6,Netflix
"Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense",2016,2016,-,Movie,TV-MA,False,-,-
"Katarzyna Piasecka, Rafał Pacześ Seriously Funny",2016,2016,-,Movie,TV-MA,False,-,-
"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",2016,2016,-,Movie,TV-MA,False,-,-
"Rafał Banaś, Michał Leja Laugh out Loud",2016,2016,-,Movie,TV-MA,False,-,-
The Best of Rafał Rutkowski Olka Szczęśniak,2016,2016,-,Movie,TV-MA,False,-,-
"Tomasz Jachimek, Jacek Stramik Laugh at Live",2016,2016,-,Movie,TV-MA,False,-,-
Come and Find Me,2016,2019,"Drama,Thriller",Movie,R,False,5.7,-
When the Camellia Blooms,2019,2019,-,TV Show,TV-14,False,-,Netflix
Class Rank,2018,2018,"Comedy,Family,Romance",Movie,TV-14,False,6.4,-
Barbie Dolphin Magic,2017,2017,-,Movie,TV-G,False,-,-
Forget Me Not,2011,2017,Documentary,TV Show,TV-MA,False,8.3,-
The Beat,2012,2017,"Crime,Documentary,Reality-TV",TV Show,TV-PG,False,8.3,-
Timeless Season,2009,2017,-,TV Show,TV-14,False,-,-
Keith Richards: Under the Influence,2015,2015,"Documentary,Music",Movie,TV-PG,True,7.2,-
A Haunting at Silver Falls: The Return,2019,2019,-,Movie,TV-14,False,-,-
