Title,Date_Added,Age,Netflix,Hulu,Prime Video,Disney+,Original Network,Netflix Exclusive Regions,Original,Type,Genre,Rating
"Nisman: The Prosecutor, the President, and the Spy",2020,-,-,-,-,-,-,-,False,-,-,-
Off Shore,-,-,0,0,1,0,-,-,False,movie,Horror,-
Off Shore,-,-,0,0,1,0,-,-,False,movie,"Drama,Romance",3.8
Okja,2017,13+,1,0,0,0,Netflix,Worldwide,True,movie,"Action,Adventure,Drama",7.3
Painful Secrets,-,-,0,0,1,0,-,-,False,-,-,-
Poseidon,2019,-,-,-,-,-,-,-,False,movie,"Action,Adventure,Drama",5.6
Poseidon,2019,-,-,-,-,-,-,-,False,tvSeries,"Action,Drama,Romance",5.6
Pretty Rosebud,-,-,0,0,1,0,-,-,False,movie,Drama,6.6
Queen of the Lot,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Drama",5.6
Quick Yoga Workouts For Weight Loss & Toning,-,-,0,0,1,0,-,-,False,-,-,-
Reading Egg's The Eggsperts,-,-,0,0,1,0,-,-,False,-,-,-
Richie Rich's Christmas Wish,-,all,0,0,0,1,-,-,False,-,-,-
Road Games,-,-,0,1,0,0,-,-,False,movie,"Horror,Mystery,Thriller",5.4
Room to Move,-,-,0,0,1,0,-,-,False,-,-,-
Samson and the Seven Miracles of the World,-,-,0,0,1,0,-,-,False,-,-,-
Savage Sisters,-,18+,0,0,1,0,-,-,False,movie,"Action,Drama",5.1
Search for the Jewel of Polaris: Mysterious Museum,-,7+,0,0,1,0,-,-,False,-,-,-
Second Chorus,-,7+,0,0,1,0,-,-,False,movie,"Comedy,Musical,Romance",5.8
Soni,2019,18+,1,0,0,0,Netflix,Worldwide,True,movie,Drama,7.2
"Spirits of the Air, Gremlins of the Clouds",-,-,0,0,1,0,-,-,False,movie,"Adventure,Sci-Fi",6.5
Starred Up,2019,18+,1,0,1,0,-,-,False,movie,"Crime,Drama",7.4
Superfly,2019,-,-,-,-,-,-,-,False,movie,"Action,Crime,Thriller",5.1
Taramani,2019,-,1,0,1,0,-,-,False,movie,"Drama,Romance",7.5
"Texas, Brooklyn & Heaven",-,-,0,0,1,0,-,-,False,movie,"Comedy,Romance",6.2
The 13th Unit,-,18+,0,0,1,0,-,-,False,-,-,-
The Avengers: Earth's Mightiest Heroes,-,7+,0,0,0,1,-,-,False,tvSeries,"Action,Animation,Family",8.3
The Biscuit Eater,-,all,0,0,0,1,-,-,False,movie,"Drama,Family",6.7
The Biscuit Eater,-,all,0,0,0,1,-,-,False,movie,"Drama,Family",5.6
The Christmas Switch,-,-,0,0,1,0,-,-,False,movie,Family,5.4
The Dressmaker,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Drama",7.1
The Dressmaker,-,18+,0,0,1,0,-,-,False,movie,"Drama,Romance",6.3
The Encounter,-,-,0,0,1,0,-,-,False,tvSeries,Drama,6.4
The Encounter,-,-,0,0,1,0,-,-,False,movie,Drama,6.8
The Encounter,-,-,0,0,1,0,-,-,False,movie,Drama,-
The Encounter,-,-,0,0,1,0,-,-,False,movie,"Horror,Sci-Fi",3.4
The Encounter,-,-,0,0,1,0,-,-,False,movie,Documentary,-
The K2,2019,16+,1,0,0,0,-,-,False,tvSeries,Thriller,7.8
The Lady Forgets,-,-,0,0,1,0,-,-,False,-,-,-
The Last Airbender,-,7+,1,0,0,0,-,-,False,movie,"Action,Adventure,Family",4.1
The Last Warrior,-,7+,0,0,1,0,-,-,False,-,-,-
The Laughing Mask,-,-,0,0,1,0,-,-,False,movie,"Crime,Horror,Thriller",5.6
The Laundromat,2019,18+,1,0,0,0,Netflix,Worldwide,True,movie,"Biography,Documentary,Drama",-
The Laundromat,2019,18+,1,0,0,0,Netflix,Worldwide,True,movie,"Comedy,Crime,Drama",6.3
The Lookalike,-,18+,0,0,1,0,-,-,False,movie,Comedy,4.2
The Lookalike,-,18+,0,0,1,0,-,-,False,movie,"Crime,Thriller",5.6
The Lullaby,-,-,0,0,1,0,-,-,False,movie,\N,-
The Princess Weiyoung,2019,-,-,-,-,-,-,-,False,-,-,-
The Recall,-,18+,1,0,1,0,-,-,False,movie,"Action,Sci-Fi,Thriller",4.5
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,"Horror,Mystery,Thriller",6.3
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,Fantasy,5.2
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,"Horror,Thriller",-
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,Horror,-
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,tvSeries,Thriller,-
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,"Documentary,Drama",-
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,"Drama,Horror",3.8
The Ritual,2018,18+,1,0,0,0,Netflix,"Worldwide, except the UK and Latin America",True,movie,Horror,4.8
The Traitorous,-,-,0,0,1,0,-,-,False,-,-,-
The Women's Balcony,2017,-,-,-,-,-,-,-,False,-,-,-
Time Simply Passes,-,-,0,0,1,0,-,-,False,movie,Documentary,7.5
Trial by Media,-,-,1,0,0,0,Netflix,Worldwide,True,-,-,-
Utah,-,-,0,0,1,0,-,-,False,movie,"Comedy,Musical,Western",5.9
Valley of the Fangs,-,18+,0,0,1,0,-,-,False,-,-,-
WordWorld,-,all,0,0,1,0,-,-,False,-,-,-
13 Reasons Why,2019,18+,1,0,0,0,Netflix,Worldwide,True,tvSeries,"Drama,Mystery",7.8
20.000 Days on Earth,-,-,0,0,1,0,-,-,False,-,-,-
A Five Star Life,-,-,0,0,1,0,-,-,False,-,-,-
A Quiet Place,-,13+,0,1,1,0,-,-,False,movie,Documentary,6.7
A Quiet Place,-,13+,0,1,1,0,-,-,False,movie,"Drama,Horror,Sci-Fi",7.5
A Rising Tide,-,18+,0,0,1,0,-,-,False,movie,"Drama,Romance",5.6
A Sort of Homecoming,2017,-,1,0,0,0,-,-,False,movie,Drama,5.8
A Sort of Homecoming,2017,-,1,0,0,0,-,-,False,movie,\N,-
A Tale of Love and Darkness,2019,13+,1,0,0,0,-,-,False,movie,"Biography,Drama,History",6.0
Absentia,-,18+,0,0,1,0,-,-,False,movie,Sci-Fi,-
Absentia,-,18+,0,0,1,0,-,-,False,movie,"Drama,Horror,Mystery",5.8
Absentia,-,18+,0,0,1,0,-,-,False,tvSeries,"Crime,Drama,Mystery",7.3
"All's Well, End's Well (2009)",2018,-,-,-,-,-,-,-,False,-,-,-
American Exorcist,-,18+,0,0,1,0,-,-,False,movie,"Comedy,Horror",2.6
An American Christmas Carol,-,-,0,0,1,0,-,-,False,-,-,-
